strategy,count,delta,kappa,sim,seed
MF,52.6484,0.57,0.4,338,46
IL,48.3944,0.27,0.4,339,45
MF,71.6056,0.27,0.4,339,45
IL,96.6544,0.85,0.4,340,42
MF,23.3456,0.85,0.4,340,42
IL,84.8864,0.71,0.4,341,43
MF,35.1136,0.71,0.4,341,43
IL,18.7088,0.12,0.4,342,49
MF,101.2912,0.12,0.4,342,49
IL,96.8972,0.91,0.4,343,45
MF,23.1028,0.91,0.4,343,45
IL,40.818,0.33,0.4,344,42
MF,79.182,0.33,0.4,344,42
IL,100.8724,0.91,0.4,345,51
MF,19.1276,0.91,0.4,345,51
IL,20.3188,0.09,0.4,346,43
MF,99.6812,0.09,0.4,346,43
IL,43.8484,0.2,0.4,347,44
MF,76.1516,0.2,0.4,347,44
IL,91.0148,0.87,0.4,348,51
MF,28.9852,0.87,0.4,348,51
IL,34.638,0.28,0.4,349,48
MF,85.362,0.28,0.4,349,48
IL,52.368,0.2,0.4,350,50
