strategy,count,delta,lambda,kappa,sim,seed
MB,79.5604,0.47,0.1,0.4,1760,51
MF,24.478,0.47,0.1,0.4,1760,51
IL,45.1568,0.93,0.3,0.4,1761,42
MB,54.9276,0.93,0.3,0.4,1761,42
MF,19.9156,0.93,0.3,0.4,1761,42
IL,55.7764,0.45,0.3,0.4,1762,48
MB,8.698578595317725,0.45,0.3,0.4,1762,48
MF,55.9008,0.45,0.3,0.4,1762,48
IL,24.4944,0.29,0.3,0.4,1763,42
MB,13.364,0.29,0.3,0.4,1763,42
MF,82.1416,0.29,0.3,0.4,1763,42
IL,16.9212,0.75,0.2,0.4,1764,46
MB,70.2064,0.75,0.2,0.4,1764,46
MF,32.8724,0.75,0.2,0.4,1764,46
IL,9.321074380165289,0.47,0.1,0.4,1765,45
MB,101.9492,0.47,0.1,0.4,1765,45
MF,9.307216494845362,0.47,0.1,0.4,1765,45
IL,16.0692,0.63,0.1,0.4,1766,43
MB,77.2936,0.63,0.1,0.4,1766,43
MF,26.6372,0.63,0.1,0.4,1766,43
IL,2.2062848454130766,0.01,0.1,0.4,1767,51
MB,18.3444,0.01,0.1,0.4,1767,51
MF,99.9144,0.01,0.1,0.4,1767,51
IL,6.3652,0.0,0.2,0.4,1768,46
MB,17.6468,0.0,0.2,0.4,1768,46
MF,95.988,0.0,0.2,0.4,1768,46
IL,22.1776,0.33,0.2,0.4,1769,46
MB,50.514,0.33,0.2,0.4,1769,46
MF,47.3084,0.33,0.2,0.4,1769,46
IL,7.8364,0.01,0.1,0.4,1770,45
MB,24.1192,0.01,0.1,0.4,1770,45
MF,88.0444,0.01,0.1,0.4,1770,45
IL,35.3772,0.25,0.1,0.4,1771,43
MB,45.848,0.25,0.1,0.4,1771,43
MF,38.7748,0.25,0.1,0.4,1771,43
IL,25.678,0.89,0.2,0.4,1772,46
MB,82.1288,0.89,0.2,0.4,1772,46
MF,12.1932,0.89,0.2,0.4,1772,46
IL,44.1184,0.49,0.1,0.4,1773,49
MB,32.4612,0.49,0.1,0.4,1773,49
MF,43.4204,0.49,0.1,0.4,1773,49
IL,12.748554913294798,0.03,0.3,0.4,1774,48
MB,5.3792,0.03,0.3,0.4,1774,48
MF,102.27,0.03,0.3,0.4,1774,48
IL,19.308,0.46,0.2,0.4,1775,44
MB,33.6068,0.46,0.2,0.4,1775,44
MF,67.0852,0.46,0.2,0.4,1775,44
IL,9.2892,0.74,0.1,0.4,1776,47
MB,100.5016,0.74,0.1,0.4,1776,47
MF,10.921266581086863,0.74,0.1,0.4,1776,47
IL,38.6916,0.62,0.2,0.4,1777,42
MB,58.5888,0.62,0.2,0.4,1777,42
MF,22.7196,0.62,0.2,0.4,1777,42
IL,46.9076,0.84,0.3,0.4,1778,46
MB,68.2368,0.84,0.3,0.4,1778,46
MF,4.8556,0.84,0.3,0.4,1778,46
IL,45.6912,0.46,0.2,0.4,1779,50
MB,29.7548,0.46,0.2,0.4,1779,50
MF,44.554,0.46,0.2,0.4,1779,50
IL,6.758102395490841,0.1,0.1,0.4,1780,47
MB,79.3008,0.1,0.1,0.4,1780,47
MF,34.944,0.1,0.1,0.4,1780,47
IL,30.9892,0.78,0.3,0.4,1781,46
MB,18.9868,0.78,0.3,0.4,1781,46
MF,70.024,0.78,0.3,0.4,1781,46
IL,31.464,0.48,0.2,0.4,1782,48
MB,69.3208,0.48,0.2,0.4,1782,48
MF,19.2152,0.48,0.2,0.4,1782,48
IL,12.676834295136027,0.88,0.1,0.4,1783,47
MB,103.0756,0.88,0.1,0.4,1783,47
MF,4.6228,0.88,0.1,0.4,1783,47
IL,16.7472,0.32,0.1,0.4,1784,47
MB,82.9,0.32,0.1,0.4,1784,47
MF,20.3528,0.32,0.1,0.4,1784,47
IL,17.8872,0.24,0.2,0.4,1785,42
MB,21.376,0.24,0.2,0.4,1785,42
MF,80.7368,0.24,0.2,0.4,1785,42
IL,24.9256,0.71,0.2,0.4,1786,50
MB,83.174,0.71,0.2,0.4,1786,50
MF,11.9004,0.71,0.2,0.4,1786,50
IL,26.1472,0.09,0.3,0.4,1787,46
MB,3.6552577319587627,0.09,0.3,0.4,1787,46
MF,90.3072,0.09,0.3,0.4,1787,46
IL,37.004,0.55,0.2,0.4,1788,42
MB,38.5488,0.55,0.2,0.4,1788,42
MF,44.4472,0.55,0.2,0.4,1788,42
IL,14.8024,0.71,0.2,0.4,1789,44
MB,88.6488,0.71,0.2,0.4,1789,44
MF,16.5488,0.71,0.2,0.4,1789,44
IL,18.42,0.43,0.1,0.4,1790,47
MB,64.3444,0.43,0.1,0.4,1790,47
MF,37.2356,0.43,0.1,0.4,1790,47
IL,62.6824,0.83,0.2,0.4,1791,48
MB,45.094,0.83,0.2,0.4,1791,48
MF,12.2236,0.83,0.2,0.4,1791,48
IL,35.7052,0.39,0.2,0.4,1792,48
MB,33.8592,0.39,0.2,0.4,1792,48
MF,50.4356,0.39,0.2,0.4,1792,48
IL,43.778,0.37,0.2,0.4,1793,50
MB,32.5028,0.37,0.2,0.4,1793,50
MF,43.7192,0.37,0.2,0.4,1793,50
IL,19.7192,0.4,0.2,0.4,1794,50
MB,51.3328,0.4,0.2,0.4,1794,50
MF,48.948,0.4,0.2,0.4,1794,50
IL,47.7724,0.4,0.2,0.4,1795,44
MB,43.5528,0.4,0.2,0.4,1795,44
MF,28.6748,0.4,0.2,0.4,1795,44
IL,16.0088,0.13,0.2,0.4,1796,42
MB,22.9424,0.13,0.2,0.4,1796,42
MF,81.0488,0.13,0.2,0.4,1796,42
IL,29.4624,0.37,0.2,0.4,1797,44
MB,32.5096,0.37,0.2,0.4,1797,44
MF,58.028,0.37,0.2,0.4,1797,44
IL,8.1508,0.05,0.1,0.4,1798,47
MB,48.2744,0.05,0.1,0.4,1798,47
MF,63.5748,0.05,0.1,0.4,1798,47
IL,12.5544,0.38,0.1,0.4,1799,49
MB,63.1016,0.38,0.1,0.4,1799,49
MF,44.344,0.38,0.1,0.4,1799,49
IL,12.5732,0.54,0.1,0.4,1800,43
MB,102.3348,0.54,0.1,0.4,1800,43
MF,5.092,0.54,0.1,0.4,1800,43
IL,7.669858451290591,0.82,0.1,0.4,1801,49
MB,105.2628,0.82,0.1,0.4,1801,49
MF,7.368,0.82,0.1,0.4,1801,49
IL,25.7868,0.42,0.2,0.4,1802,46
MB,54.4728,0.42,0.2,0.4,1802,46
MF,39.7404,0.42,0.2,0.4,1802,46
IL,66.2164,0.72,0.3,0.4,1803,48
MB,21.5732,0.72,0.3,0.4,1803,48
MF,32.2104,0.72,0.3,0.4,1803,48
IL,55.2664,0.9,0.3,0.4,1804,44
MB,45.1016,0.9,0.3,0.4,1804,44
MF,19.632,0.9,0.3,0.4,1804,44
IL,41.958,0.9,0.3,0.4,1805,50
MB,71.7076,0.9,0.3,0.4,1805,50
MF,6.3344,0.9,0.3,0.4,1805,50
IL,12.9556,0.5,0.1,0.4,1806,45
MB,77.49,0.5,0.1,0.4,1806,45
MF,29.5544,0.5,0.1,0.4,1806,45
IL,46.2972,0.7,0.3,0.4,1807,48
MB,38.982,0.7,0.3,0.4,1807,48
MF,34.7208,0.7,0.3,0.4,1807,48
IL,63.07,0.58,0.3,0.4,1808,42
MB,17.7816,0.58,0.3,0.4,1808,42
MF,39.1484,0.58,0.3,0.4,1808,42
IL,32.0316,0.34,0.3,0.4,1809,48
MB,22.0168,0.34,0.3,0.4,1809,48
MF,65.9516,0.34,0.3,0.4,1809,48
IL,16.308,0.12,0.1,0.4,1810,43
MB,83.4472,0.12,0.1,0.4,1810,43
MF,20.2448,0.12,0.1,0.4,1810,43
IL,7.3408,0.04,0.2,0.4,1811,46
MB,12.3988,0.04,0.2,0.4,1811,46
MF,100.2604,0.04,0.2,0.4,1811,46
IL,28.494,0.36,0.1,0.4,1812,45
MB,61.5552,0.36,0.1,0.4,1812,45
MF,29.9508,0.36,0.1,0.4,1812,45
IL,9.148,0.36,0.1,0.4,1813,51
MB,76.6684,0.36,0.1,0.4,1813,51
MF,34.1836,0.36,0.1,0.4,1813,51
IL,8.3616,0.5,0.1,0.4,1814,51
MB,107.5208,0.5,0.1,0.4,1814,51
MF,4.2660588479071695,0.5,0.1,0.4,1814,51
IL,19.6088,0.36,0.1,0.4,1815,50
MB,71.8368,0.36,0.1,0.4,1815,50
MF,28.5544,0.36,0.1,0.4,1815,50
IL,20.7048,0.5,0.1,0.4,1816,50
MB,62.7704,0.5,0.1,0.4,1816,50
MF,36.5248,0.5,0.1,0.4,1816,50
IL,32.7604,0.7,0.3,0.4,1817,49
MB,74.7764,0.7,0.3,0.4,1817,49
MF,12.4632,0.7,0.3,0.4,1817,49
IL,11.5376,0.5,0.1,0.4,1818,44
MB,89.6136,0.5,0.1,0.4,1818,44
MF,18.8488,0.5,0.1,0.4,1818,44
IL,19.552,0.36,0.1,0.4,1819,44
MB,64.5332,0.36,0.1,0.4,1819,44
MF,35.9148,0.36,0.1,0.4,1819,44
IL,10.442,0.04,0.2,0.4,1820,47
MB,24.29943747295543,0.04,0.2,0.4,1820,47
MF,87.0956,0.04,0.2,0.4,1820,47
IL,18.8584,0.12,0.1,0.4,1821,42
MB,45.8912,0.12,0.1,0.4,1821,42
MF,55.2504,0.12,0.1,0.4,1821,42
IL,21.224,0.34,0.3,0.4,1822,49
MB,7.2244,0.34,0.3,0.4,1822,49
MF,91.5516,0.34,0.3,0.4,1822,49
IL,48.7424,0.58,0.3,0.4,1823,43
MB,38.5996,0.58,0.3,0.4,1823,43
MF,32.658,0.58,0.3,0.4,1823,43
IL,59.8072,0.9,0.3,0.4,1824,51
MB,56.2736,0.9,0.3,0.4,1824,51
MF,4.836130306021718,0.9,0.3,0.4,1824,51
IL,56.2612,0.72,0.3,0.4,1825,49
MB,43.594,0.72,0.3,0.4,1825,49
MF,20.1448,0.72,0.3,0.4,1825,49
IL,9.0544,0.82,0.1,0.4,1826,48
MB,104.9016,0.82,0.1,0.4,1826,48
MF,6.319531576746131,0.82,0.1,0.4,1826,48
IL,34.9584,0.42,0.2,0.4,1827,47
MB,31.3236,0.42,0.2,0.4,1827,47
MF,53.718,0.42,0.2,0.4,1827,47
IL,9.747283702213279,0.54,0.1,0.4,1828,42
MB,99.018,0.54,0.1,0.4,1828,42
MF,11.2932,0.54,0.1,0.4,1828,42
IL,26.9312,0.38,0.1,0.4,1829,48
MB,43.4852,0.38,0.1,0.4,1829,48
MF,49.5836,0.38,0.1,0.4,1829,48
IL,35.1404,0.9,0.3,0.4,1830,45
MB,72.2748,0.9,0.3,0.4,1830,45
MF,12.5848,0.9,0.3,0.4,1830,45
IL,13.6704,0.4,0.2,0.4,1831,45
MB,31.9464,0.4,0.2,0.4,1831,45
MF,74.3832,0.4,0.2,0.4,1831,45
IL,8.0344,0.05,0.1,0.4,1832,46
MB,14.6648,0.05,0.1,0.4,1832,46
MF,97.3008,0.05,0.1,0.4,1832,46
IL,15.8988,0.37,0.2,0.4,1833,45
MB,73.452,0.37,0.2,0.4,1833,45
MF,30.6492,0.37,0.2,0.4,1833,45
IL,21.9212,0.13,0.2,0.4,1834,43
MB,10.9756,0.13,0.2,0.4,1834,43
MF,87.1032,0.13,0.2,0.4,1834,43
IL,17.588,0.37,0.2,0.4,1835,51
MB,24.6648,0.37,0.2,0.4,1835,51
MF,77.7472,0.37,0.2,0.4,1835,51
IL,47.5728,0.4,0.2,0.4,1836,51
MB,36.5748,0.4,0.2,0.4,1836,51
MF,35.8524,0.4,0.2,0.4,1836,51
IL,38.4444,0.39,0.2,0.4,1837,49
MB,37.7012,0.39,0.2,0.4,1837,49
MF,43.8544,0.39,0.2,0.4,1837,49
IL,8.3564,0.43,0.1,0.4,1838,46
MB,100.5976,0.43,0.1,0.4,1838,46
MF,11.046,0.43,0.1,0.4,1838,46
IL,17.9124,0.83,0.2,0.4,1839,49
MB,95.8148,0.83,0.2,0.4,1839,49
MF,6.2728,0.83,0.2,0.4,1839,49
IL,22.3928,0.71,0.2,0.4,1840,45
MB,84.2252,0.71,0.2,0.4,1840,45
MF,13.382,0.71,0.2,0.4,1840,45
IL,21.3432,0.55,0.2,0.4,1841,43
MB,78.6368,0.55,0.2,0.4,1841,43
MF,20.02,0.55,0.2,0.4,1841,43
IL,11.096,0.09,0.3,0.4,1842,47
MB,11.2512,0.09,0.3,0.4,1842,47
MF,97.6528,0.09,0.3,0.4,1842,47
IL,30.0648,0.71,0.2,0.4,1843,51
MB,77.8024,0.71,0.2,0.4,1843,51
MF,12.1328,0.71,0.2,0.4,1843,51
IL,23.9336,0.1,0.1,0.4,1844,46
MB,20.6624,0.1,0.1,0.4,1844,46
MF,75.404,0.1,0.1,0.4,1844,46
IL,27.2928,0.24,0.2,0.4,1845,43
MB,49.2944,0.24,0.2,0.4,1845,43
MF,43.4128,0.24,0.2,0.4,1845,43
IL,8.2868,0.32,0.1,0.4,1846,46
MB,92.6336,0.32,0.1,0.4,1846,46
MF,19.0796,0.32,0.1,0.4,1846,46
IL,44.1632,0.48,0.2,0.4,1847,49
MB,39.5072,0.48,0.2,0.4,1847,49
MF,36.3296,0.48,0.2,0.4,1847,49
IL,6.437853107344632,0.88,0.1,0.4,1848,46
MB,107.3184,0.88,0.1,0.4,1848,46
MF,6.3004,0.88,0.1,0.4,1848,46
IL,41.3576,0.78,0.3,0.4,1849,47
MB,61.6896,0.78,0.3,0.4,1849,47
MF,16.9528,0.78,0.3,0.4,1849,47
IL,42.32,0.46,0.2,0.4,1850,51
MB,35.8468,0.46,0.2,0.4,1850,51
MF,41.8332,0.46,0.2,0.4,1850,51
IL,67.3896,0.84,0.3,0.4,1851,47
MB,41.0456,0.84,0.3,0.4,1851,47
MF,11.5648,0.84,0.3,0.4,1851,47
IL,24.3148,0.62,0.2,0.4,1852,43
MB,88.3804,0.62,0.2,0.4,1852,43
MF,7.625052192066806,0.62,0.2,0.4,1852,43
IL,9.544,0.74,0.1,0.4,1853,46
MB,99.2912,0.74,0.1,0.4,1853,46
MF,11.1648,0.74,0.1,0.4,1853,46
IL,25.7676,0.46,0.2,0.4,1854,45
MB,79.4836,0.46,0.2,0.4,1854,45
MF,14.7488,0.46,0.2,0.4,1854,45
IL,6.3070993914807305,0.0,0.2,0.4,1855,47
MB,5.981699877999187,0.0,0.2,0.4,1855,47
MF,107.8976,0.0,0.2,0.4,1855,47
IL,15.6548,0.03,0.3,0.4,1856,49
MB,5.9276,0.03,0.3,0.4,1856,49
MF,98.4176,0.03,0.3,0.4,1856,49
IL,22.336,0.89,0.2,0.4,1857,47
MB,90.304,0.89,0.2,0.4,1857,47
MF,7.36,0.89,0.2,0.4,1857,47
IL,13.3128,0.49,0.1,0.4,1858,48
MB,70.5836,0.49,0.1,0.4,1858,48
MF,36.1036,0.49,0.1,0.4,1858,48
IL,16.1844,0.25,0.1,0.4,1859,42
MB,74.7892,0.25,0.1,0.4,1859,42
MF,29.0264,0.25,0.1,0.4,1859,42
IL,4.21740907233347,0.01,0.1,0.4,1860,44
MB,18.536,0.01,0.1,0.4,1860,44
MF,97.336,0.01,0.1,0.4,1860,44
IL,29.1988,0.33,0.2,0.4,1861,47
MB,46.4288,0.33,0.2,0.4,1861,47
MF,44.3724,0.33,0.2,0.4,1861,47
IL,5.417566932832315,0.01,0.1,0.4,1862,50
MB,24.2628,0.01,0.1,0.4,1862,50
MF,91.1236,0.01,0.1,0.4,1862,50
IL,10.39600326264274,0.63,0.1,0.4,1863,42
MB,92.9692,0.63,0.1,0.4,1863,42
MF,16.8344,0.63,0.1,0.4,1863,42
IL,12.2388,0.47,0.1,0.4,1864,44
MB,42.872,0.47,0.1,0.4,1864,44
MF,64.8892,0.47,0.1,0.4,1864,44
IL,52.608,0.75,0.2,0.4,1865,47
MB,54.0756,0.75,0.2,0.4,1865,47
MF,13.3164,0.75,0.2,0.4,1865,47
IL,16.2268,0.29,0.3,0.4,1866,43
MB,12.652,0.29,0.3,0.4,1866,43
MF,91.1212,0.29,0.3,0.4,1866,43
IL,50.018,0.45,0.3,0.4,1867,49
MB,15.9712,0.45,0.3,0.4,1867,49
MF,54.0108,0.45,0.3,0.4,1867,49
IL,39.9932,0.93,0.3,0.4,1868,43
MB,61.6848,0.93,0.3,0.4,1868,43
MF,18.322,0.93,0.3,0.4,1868,43
IL,18.9224,0.47,0.1,0.4,1869,50
MB,80.5416,0.47,0.1,0.4,1869,50
MF,20.536,0.47,0.1,0.4,1869,50
IL,19.6524,0.28,0.2,0.4,1870,51
MB,60.3684,0.28,0.2,0.4,1870,51
MF,39.9792,0.28,0.2,0.4,1870,51
IL,45.946,0.92,0.2,0.4,1871,51
MB,63.2772,0.92,0.2,0.4,1871,51
MF,10.7768,0.92,0.2,0.4,1871,51
IL,33.4856,0.28,0.2,0.4,1872,45
MB,46.566,0.28,0.2,0.4,1872,45
MF,39.9484,0.28,0.2,0.4,1872,45
IL,27.7928,0.92,0.2,0.4,1873,45
MB,80.1876,0.92,0.2,0.4,1873,45
MF,12.458126036484245,0.92,0.2,0.4,1873,45
IL,33.972,0.26,0.2,0.4,1874,49
MB,27.914,0.26,0.2,0.4,1874,49
MF,58.114,0.26,0.2,0.4,1874,49
IL,16.9968,0.16,0.3,0.4,1875,47
MB,7.0744,0.16,0.3,0.4,1875,47
MF,95.9288,0.16,0.3,0.4,1875,47
IL,14.1612,0.61,0.1,0.4,1876,48
MB,87.2248,0.61,0.1,0.4,1876,48
MF,18.614,0.61,0.1,0.4,1876,48
IL,17.4008,0.93,0.1,0.4,1877,44
MB,90.9536,0.93,0.1,0.4,1877,44
MF,11.6456,0.93,0.1,0.4,1877,44
IL,32.5312,0.29,0.1,0.4,1878,44
MB,29.3756,0.29,0.1,0.4,1878,44
MF,58.0932,0.29,0.1,0.4,1878,44
IL,48.3096,0.91,0.3,0.4,1879,49
MB,62.5888,0.91,0.3,0.4,1879,49
MF,9.1016,0.91,0.3,0.4,1879,49
IL,35.052,0.63,0.3,0.4,1880,45
MB,69.2684,0.63,0.3,0.4,1880,45
MF,16.96192124621376,0.63,0.3,0.4,1880,45
IL,42.17,0.47,0.3,0.4,1881,43
MB,26.7752,0.47,0.3,0.4,1881,43
MF,51.0548,0.47,0.3,0.4,1881,43
IL,49.4552,0.63,0.3,0.4,1882,51
MB,40.6288,0.63,0.3,0.4,1882,51
MF,29.916,0.63,0.3,0.4,1882,51
IL,32.4236,0.93,0.1,0.4,1883,50
MB,83.458,0.93,0.1,0.4,1883,50
MF,4.148267526188557,0.93,0.1,0.4,1883,50
IL,20.3988,0.29,0.1,0.4,1884,50
MB,39.7384,0.29,0.1,0.4,1884,50
MF,59.8628,0.29,0.1,0.4,1884,50
IL,39.4084,0.25,0.3,0.4,1885,45
MB,18.324,0.25,0.3,0.4,1885,45
MF,62.2676,0.25,0.3,0.4,1885,45
IL,4.265339966832504,0.01,0.3,0.4,1886,43
MB,5.630057803468208,0.01,0.3,0.4,1886,43
MF,110.4304,0.01,0.3,0.4,1886,43
IL,13.7496,0.27,0.1,0.4,1887,48
MB,40.4728,0.27,0.1,0.4,1887,48
MF,65.7776,0.27,0.1,0.4,1887,48
IL,28.8708,0.25,0.3,0.4,1888,51
MB,13.5128,0.25,0.3,0.4,1888,51
MF,77.6164,0.25,0.3,0.4,1888,51
IL,36.1308,0.54,0.3,0.4,1889,51
MB,28.8548,0.54,0.3,0.4,1889,51
MF,55.0144,0.54,0.3,0.4,1889,51
IL,17.538,0.9,0.1,0.4,1890,42
MB,94.8676,0.9,0.1,0.4,1890,42
MF,7.5944,0.9,0.1,0.4,1890,42
IL,55.7356,0.54,0.3,0.4,1891,45
MB,25.8928,0.54,0.3,0.4,1891,45
MF,38.3716,0.54,0.3,0.4,1891,45
IL,15.0816,0.96,0.2,0.4,1892,47
MB,95.4196,0.96,0.2,0.4,1892,47
MF,10.148290598290599,0.96,0.2,0.4,1892,47
IL,39.3512,0.56,0.1,0.4,1893,48
MB,36.992,0.56,0.1,0.4,1893,48
MF,43.6568,0.56,0.1,0.4,1893,48
IL,26.0172,0.12,0.3,0.4,1894,51
MB,8.999576988155669,0.12,0.3,0.4,1894,51
MF,85.4728,0.12,0.3,0.4,1894,51
IL,11.7536,0.58,0.1,0.4,1895,50
MB,89.3272,0.58,0.1,0.4,1895,50
MF,18.9192,0.58,0.1,0.4,1895,50
IL,19.3956,0.58,0.1,0.4,1896,44
MB,95.1136,0.58,0.1,0.4,1896,44
MF,5.506217408744485,0.58,0.1,0.4,1896,44
IL,44.2404,0.36,0.3,0.4,1897,43
MB,17.490960224989955,0.36,0.3,0.4,1897,43
MF,58.3456,0.36,0.3,0.4,1897,43
IL,13.118,0.12,0.3,0.4,1898,45
MB,9.568209750102417,0.12,0.3,0.4,1898,45
MF,97.5396,0.12,0.3,0.4,1898,45
IL,34.9912,0.5,0.3,0.4,1899,43
MB,49.3788,0.5,0.3,0.4,1899,43
MF,35.63,0.5,0.3,0.4,1899,43
IL,42.1088,0.8,0.2,0.4,1900,43
MB,62.3884,0.8,0.2,0.4,1900,43
MF,15.5028,0.8,0.2,0.4,1900,43
IL,31.2132,0.57,0.2,0.4,1901,49
MB,59.2432,0.57,0.2,0.4,1901,49
MF,29.5436,0.57,0.2,0.4,1901,49
IL,17.1172,0.97,0.1,0.4,1902,46
MB,84.2852,0.97,0.1,0.4,1902,46
MF,18.5976,0.97,0.1,0.4,1902,46
IL,19.5364,0.81,0.2,0.4,1903,43
MB,87.8568,0.81,0.2,0.4,1903,43
MF,12.6068,0.81,0.2,0.4,1903,43
IL,52.43,0.67,0.3,0.4,1904,47
MB,36.5092,0.67,0.3,0.4,1904,47
MF,31.0608,0.67,0.3,0.4,1904,47
IL,27.3904,0.21,0.3,0.4,1905,47
MB,13.8544,0.21,0.3,0.4,1905,47
MF,78.7552,0.21,0.3,0.4,1905,47
IL,14.8088,0.11,0.2,0.4,1906,49
MB,12.756,0.11,0.2,0.4,1906,49
MF,92.4352,0.11,0.2,0.4,1906,49
IL,23.7704,0.59,0.2,0.4,1907,45
MB,54.8748,0.59,0.2,0.4,1907,45
MF,41.3548,0.59,0.2,0.4,1907,45
IL,16.4204,0.59,0.2,0.4,1908,51
MB,90.588,0.59,0.2,0.4,1908,51
MF,12.9916,0.59,0.2,0.4,1908,51
IL,11.5632,0.09,0.1,0.4,1909,50
MB,15.0244,0.09,0.1,0.4,1909,50
MF,93.4124,0.09,0.1,0.4,1909,50
IL,53.7208,0.43,0.3,0.4,1910,51
MB,10.9736,0.43,0.3,0.4,1910,51
MF,55.3056,0.43,0.3,0.4,1910,51
IL,29.2264,0.43,0.3,0.4,1911,45
MB,26.384,0.43,0.3,0.4,1911,45
MF,64.3896,0.43,0.3,0.4,1911,45
IL,69.2636,0.67,0.3,0.4,1912,43
MB,42.2164,0.67,0.3,0.4,1912,43
MF,8.52,0.67,0.3,0.4,1912,43
IL,15.1152,0.97,0.1,0.4,1913,42
MB,96.3004,0.97,0.1,0.4,1913,42
MF,8.5844,0.97,0.1,0.4,1913,42
IL,14.3764,0.81,0.2,0.4,1914,47
MB,98.214,0.81,0.2,0.4,1914,47
MF,7.4096,0.81,0.2,0.4,1914,47
IL,22.6052,0.41,0.1,0.4,1915,48
MB,40.2928,0.41,0.1,0.4,1915,48
MF,57.102,0.41,0.1,0.4,1915,48
IL,9.746,0.09,0.1,0.4,1916,44
MB,24.5328,0.09,0.1,0.4,1916,44
MF,85.7212,0.09,0.1,0.4,1916,44
IL,13.9148,0.8,0.2,0.4,1917,47
MB,93.8432,0.8,0.2,0.4,1917,47
MF,12.246898759503802,0.8,0.2,0.4,1917,47
IL,9.686,0.05,0.3,0.4,1918,51
MB,9.0176,0.05,0.3,0.4,1918,51
MF,101.2964,0.05,0.3,0.4,1918,51
IL,10.7496,0.07,0.1,0.4,1919,48
MB,28.8524,0.07,0.1,0.4,1919,48
MF,80.398,0.07,0.1,0.4,1919,48
IL,7.6048,0.05,0.3,0.4,1920,45
MB,4.2364,0.05,0.3,0.4,1920,45
MF,108.1588,0.05,0.3,0.4,1920,45
IL,16.0132,0.21,0.3,0.4,1921,43
MB,15.4392,0.21,0.3,0.4,1921,43
MF,88.5476,0.21,0.3,0.4,1921,43
IL,7.6228,0.08,0.2,0.4,1922,45
MB,11.5132,0.08,0.2,0.4,1922,45
MF,100.864,0.08,0.2,0.4,1922,45
IL,20.852,0.96,0.2,0.4,1923,43
MB,91.6716,0.96,0.2,0.4,1923,43
MF,7.4764,0.96,0.2,0.4,1923,43
IL,9.562,0.9,0.1,0.4,1924,46
MB,104.5496,0.9,0.1,0.4,1924,46
MF,5.8884,0.9,0.1,0.4,1924,46
IL,13.2408,0.08,0.2,0.4,1925,51
MB,8.7896,0.08,0.2,0.4,1925,51
MF,97.9696,0.08,0.2,0.4,1925,51
IL,52.0484,0.5,0.3,0.4,1926,47
MB,12.4056,0.5,0.3,0.4,1926,47
MF,55.546,0.5,0.3,0.4,1926,47
IL,42.0584,0.36,0.3,0.4,1927,47
MB,10.7616,0.36,0.3,0.4,1927,47
MF,67.18,0.36,0.3,0.4,1927,47
IL,9.556458164094233,0.06,0.2,0.4,1928,49
MB,23.5492,0.06,0.2,0.4,1928,49
MF,87.0396,0.06,0.2,0.4,1928,49
IL,17.006,0.85,0.2,0.4,1929,51
MB,73.762,0.85,0.2,0.4,1929,51
MF,29.232,0.85,0.2,0.4,1929,51
IL,91.7808,1.0,0.3,0.4,1930,49
MB,16.7424,1.0,0.3,0.4,1930,49
MF,11.4768,1.0,0.3,0.4,1930,49
IL,46.198,0.47,0.3,0.4,1931,47
MB,48.334,0.47,0.3,0.4,1931,47
MF,25.468,0.47,0.3,0.4,1931,47
IL,19.5748,0.77,0.2,0.4,1932,49
MB,80.3228,0.77,0.2,0.4,1932,49
MF,20.1024,0.77,0.2,0.4,1932,49
IL,18.7668,0.85,0.2,0.4,1933,45
MB,93.9272,0.85,0.2,0.4,1933,45
MF,7.497947454844007,0.85,0.2,0.4,1933,45
IL,29.0884,0.79,0.2,0.4,1934,51
MB,78.3056,0.79,0.2,0.4,1934,51
MF,12.606,0.79,0.2,0.4,1934,51
IL,18.9144,0.2,0.2,0.4,1935,49
MB,29.2136,0.2,0.2,0.4,1935,49
MF,71.872,0.2,0.2,0.4,1935,49
IL,15.2376,0.31,0.2,0.4,1936,49
MB,38.6264,0.31,0.2,0.4,1936,49
MF,66.136,0.31,0.2,0.4,1936,49
IL,24.2624,0.79,0.2,0.4,1937,45
MB,88.5404,0.79,0.2,0.4,1937,45
MF,7.531603181247384,0.79,0.2,0.4,1937,45
IL,8.982779335202242,0.01,0.3,0.4,1938,47
MB,20.4008,0.01,0.3,0.4,1938,47
MF,90.6272,0.01,0.3,0.4,1938,47
IL,8.887414555689586,0.84,0.1,0.4,1939,44
MB,102.9744,0.84,0.1,0.4,1939,44
MF,8.842264477095938,0.84,0.1,0.4,1939,44
IL,14.8312,0.76,0.1,0.4,1940,48
MB,92.124,0.76,0.1,0.4,1940,48
MF,13.0448,0.76,0.1,0.4,1940,48
IL,51.1336,0.74,0.3,0.4,1941,45
MB,48.8612,0.74,0.3,0.4,1941,45
MF,20.0052,0.74,0.3,0.4,1941,45
IL,54.7344,0.86,0.3,0.4,1942,49
MB,48.4664,0.86,0.3,0.4,1942,49
MF,16.7992,0.86,0.3,0.4,1942,49
IL,56.0804,0.74,0.3,0.4,1943,51
MB,36.3408,0.74,0.3,0.4,1943,51
MF,27.5788,0.74,0.3,0.4,1943,51
IL,14.3344,0.84,0.1,0.4,1944,50
MB,95.6956,0.84,0.1,0.4,1944,50
MF,9.97,0.84,0.1,0.4,1944,50
IL,12.15225334957369,0.3,0.1,0.4,1945,48
MB,91.3616,0.3,0.1,0.4,1945,48
MF,17.52102607232969,0.3,0.1,0.4,1945,48
IL,11.1444,0.1,0.3,0.4,1946,45
