strategy,count,delta,lambda,kappa,sim
MB,8.578,0.1,0.2,0.2,138
MF,66.9992,0.1,0.2,0.2,138
IL,56.5048,0.1,0.30000000000000004,0.1,139
MB,8.897727272727273,0.1,0.30000000000000004,0.1,139
MF,55.0388,0.1,0.30000000000000004,0.1,139
IL,21.7484,0.30000000000000004,0.0,0.2,140
MB,87.0248,0.30000000000000004,0.0,0.2,140
MF,11.2268,0.30000000000000004,0.0,0.2,140
IL,29.9184,0.1,0.2,0.30000000000000004,141
MB,25.2172,0.1,0.2,0.30000000000000004,141
MF,64.8644,0.1,0.2,0.30000000000000004,141
IL,55.1268,0.8,0.4,0.5,142
MB,52.2924,0.8,0.4,0.5,142
MF,12.5808,0.8,0.4,0.5,142
IL,25.3192,0.2,1.0,0.5,143
MB,2.910857625686523,0.2,1.0,0.5,143
MF,91.9248,0.2,1.0,0.5,143
IL,104.4124,1.0,0.6000000000000001,0.1,144
MB,9.1096,1.0,0.6000000000000001,0.1,144
MF,6.540791599353796,1.0,0.6000000000000001,0.1,144
IL,32.1612,0.1,0.6000000000000001,0.4,145
MB,4.012772970745777,0.1,0.6000000000000001,0.4,145
MF,83.9432,0.1,0.6000000000000001,0.4,145
IL,4.2532714225411565,0.30000000000000004,0.2,1.0,146
MB,17.0264,0.30000000000000004,0.2,1.0,146
MF,98.9432,0.30000000000000004,0.2,1.0,146
IL,6.7804,0.4,0.6000000000000001,0.8,147
MB,3.6926333615580016,0.4,0.6000000000000001,0.8,147
MF,109.7308,0.4,0.6000000000000001,0.8,147
IL,25.0808,0.5,0.5,0.5,148
MB,3.8576,0.5,0.5,0.5,148
MF,91.0616,0.5,0.5,0.5,148
IL,102.952,0.30000000000000004,0.30000000000000004,0.0,149
MB,4.845507976490344,0.30000000000000004,0.30000000000000004,0.0,149
MF,12.4312,0.30000000000000004,0.30000000000000004,0.0,149
IL,107.1728,0.30000000000000004,0.5,0.0,150
MB,4.080758137618459,0.30000000000000004,0.5,0.0,150
MF,8.8656,0.30000000000000004,0.5,0.0,150
IL,18.094,0.30000000000000004,0.4,0.6000000000000001,151
MB,5.463537300922045,0.30000000000000004,0.4,0.6000000000000001,151
MF,96.6916,0.30000000000000004,0.4,0.6000000000000001,151
IL,109.3508,0.8,0.6000000000000001,0.0,152
MB,5.0068,0.8,0.6000000000000001,0.0,152
MF,5.6424,0.8,0.6000000000000001,0.0,152
IL,105.6704,0.9,0.8,0.2,153
MB,6.627054361567636,0.9,0.8,0.2,153
MF,8.0392,0.9,0.8,0.2,153
IL,74.1232,0.6000000000000001,0.4,0.4,154
MB,11.8472,0.6000000000000001,0.4,0.4,154
MF,34.0296,0.6000000000000001,0.4,0.4,154
IL,20.678,0.7000000000000001,0.1,0.30000000000000004,155
MB,86.5204,0.7000000000000001,0.1,0.30000000000000004,155
MF,12.8016,0.7000000000000001,0.1,0.30000000000000004,155
IL,57.24,0.7000000000000001,0.5,0.5,156
MB,7.700560448358687,0.7000000000000001,0.5,0.5,156
MF,55.0656,0.7000000000000001,0.5,0.5,156
IL,82.7064,0.4,0.9,0.2,157
MB,2.4711879432624113,0.4,0.9,0.2,157
MF,35.0636,0.4,0.9,0.2,157
IL,6.164,0.0,0.30000000000000004,0.5,158
MB,5.910794297352342,0.0,0.30000000000000004,0.5,158
MF,108.0316,0.0,0.30000000000000004,0.5,158
IL,3.7732,0.2,0.0,0.7000000000000001,159
MB,86.9596,0.2,0.0,0.7000000000000001,159
MF,29.2672,0.2,0.0,0.7000000000000001,159
IL,67.496,0.1,0.4,0.1,160
MB,7.8544,0.1,0.4,0.1,160
MF,44.6496,0.1,0.4,0.1,160
IL,8.0812,0.2,0.0,0.4,161
MB,85.0176,0.2,0.0,0.4,161
MF,26.9012,0.2,0.0,0.4,161
IL,11.5852,1.0,0.1,0.4,162
MB,94.7316,1.0,0.1,0.4,162
MF,13.6832,1.0,0.1,0.4,162
IL,6.0548,0.6000000000000001,0.6000000000000001,0.9,163
MB,5.199106054449411,0.6000000000000001,0.6000000000000001,0.9,163
MF,108.8272,0.6000000000000001,0.6000000000000001,0.9,163
IL,6.721554487179487,0.0,0.7000000000000001,0.4,164
MB,3.9679101484155637,0.0,0.7000000000000001,0.4,164
MF,109.3324,0.0,0.7000000000000001,0.4,164
IL,7.8428,0.5,0.7000000000000001,0.8,165
MB,3.5721807810443176,0.5,0.7000000000000001,0.8,165
MF,108.9008,0.5,0.7000000000000001,0.8,165
IL,86.1852,0.4,1.0,0.2,166
MB,3.3205287071458076,0.4,1.0,0.2,166
MF,30.5992,0.4,1.0,0.2,166
IL,4.963545981772991,0.2,0.7000000000000001,1.0,167
MB,3.5079236082893135,0.2,0.7000000000000001,1.0,167
MF,111.754,0.2,0.7000000000000001,1.0,167
IL,12.216346153846153,0.30000000000000004,0.8,0.7000000000000001,168
MB,4.1248,0.30000000000000004,0.8,0.7000000000000001,168
MF,103.6784,0.30000000000000004,0.8,0.7000000000000001,168
IL,7.75676801332778,0.0,0.6000000000000001,0.30000000000000004,169
MB,4.189517819706499,0.0,0.6000000000000001,0.30000000000000004,169
MF,108.5536,0.0,0.6000000000000001,0.30000000000000004,169
IL,5.2596,0.9,0.6000000000000001,0.9,170
MB,8.8356,0.9,0.6000000000000001,0.9,170
MF,105.9048,0.9,0.6000000000000001,0.9,170
IL,5.3788,0.0,0.4,0.5,171
MB,4.772707705553164,0.0,0.4,0.5,171
MF,110.1864,0.0,0.4,0.5,171
IL,78.758,0.5,1.0,0.30000000000000004,172
MB,3.759009986973513,0.5,1.0,0.30000000000000004,172
MF,37.7792,0.5,1.0,0.30000000000000004,172
